source_no,title,source_url,publisher,publication_date,acquired_at,version,effective_date,expiry_date,authority_status,country,jurisdiction,language,document_type,source_type,local_path,actually_downloaded,manually_verified,answerable,authority_level,license_note,license_url,contains_personal_data,minimization_rule,parser_version,review_status,checksum,translation_provider,translation_model,translation_version,notes
SRC-OFFICIAL-AU-NSW-001,Landlord responsibilities for repair and maintenance of rental properties,https://www.nsw.gov.au/housing-and-construction/rules/landlord-obligations-and-responsibilities-for-rental-properties,NSW Fair Trading,,2026-08-10,current web guidance,,,current,AU,AU-NSW,en,repair_responsibility,official_public_document,official/international/au_nsw_landlord_repair_obligations.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.nsw.gov.au/nsw-government/about-website/copyright,false,,html-structured-v1,approved,,,,,General information for New South Wales only
SRC-OFFICIAL-AU-NSW-002,Getting repairs done on a rental property,https://www.nsw.gov.au/housing-and-construction/renting-a-place-to-live/getting-repairs-done,NSW Fair Trading,,2026-08-10,current web guidance,,,current,AU,AU-NSW,en,repair_process,official_public_document,official/international/au_nsw_getting_repairs_done.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.nsw.gov.au/nsw-government/about-website/copyright,false,,html-structured-v1,approved,,,,,Urgent and non-urgent repair process for New South Wales
SRC-OFFICIAL-AU-NSW-003,Strata repairs and maintenance,https://www.nsw.gov.au/housing-and-construction/strata/living/repairs-and-maintenance,NSW Fair Trading,2026-06-22,2026-08-10,updated 2026-06-22,,,current,AU,AU-NSW,en,strata_repair_guidance,official_public_document,official/international/au_nsw_strata_repairs_maintenance.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.nsw.gov.au/nsw-government/about-website/copyright,false,,html-structured-v1,approved,,,,,Common-property and lot-owner repair responsibilities
SRC-OFFICIAL-AU-NSW-004,Complaints about a strata or building manager,https://www.nsw.gov.au/housing-and-construction/strata/strata-complaints,NSW Fair Trading,2023-07-25,2026-08-10,updated 2023-07-25,,,current,AU,AU-NSW,en,strata_complaint_process,official_public_document,official/international/au_nsw_strata_manager_complaints.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.nsw.gov.au/nsw-government/about-website/copyright,false,,html-structured-v1,approved,,,,,Complaint and mediation pathway for New South Wales
SRC-OFFICIAL-AU-NSW-005,Strata disputes,https://www.nsw.gov.au/housing-and-construction/strata/disputes,NSW Fair Trading,2026-06-22,2026-08-10,updated 2026-06-22,,,current,AU,AU-NSW,en,strata_dispute_process,official_public_document,official/international/au_nsw_strata_disputes.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.nsw.gov.au/nsw-government/about-website/copyright,false,,html-structured-v1,approved,,,,,Mediation before tribunal is the general pathway
SRC-OFFICIAL-AU-VIC-001,Repairs in rental properties,https://www.consumer.vic.gov.au/housing/renting/repairs-alterations-safety-and-pets/repairs/repairs-in-rental-properties,Consumer Affairs Victoria,2026-02-26,2026-08-10,updated 2026-02-26,,,current,AU,AU-VIC,en,repair_process,official_public_document,official/international/au_vic_rental_repairs.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.consumer.vic.gov.au/copyright,false,,html-structured-v1,approved,,,,,Victoria only; includes urgent repair definitions and timeframes
SRC-OFFICIAL-AU-VIC-002,Renting disaster advice,https://www.consumer.vic.gov.au/resources-and-tools/advice-in-a-disaster/renting,Consumer Affairs Victoria,,2026-08-10,current web guidance,,,current,AU,AU-VIC,en,disaster_repair_guidance,official_public_document,official/international/au_vic_renting_disaster_advice.html,true,true,true,regional_government_guidance,Creative Commons Attribution 4.0 except excluded material,https://www.consumer.vic.gov.au/copyright,false,,html-structured-v1,approved,,,,,Victoria rental guidance after disasters
SRC-OFFICIAL-NZ-001,Damage and repairs,https://www.tenancy.govt.nz/maintenance-and-inspections/damage-and-repairs/,Tenancy Services New Zealand,2026-04-16,2026-08-10,updated 2026-04-16,,,current,NZ,NZ,en,repair_process,official_public_document,official/international/nz_damage_and_repairs.html,true,true,true,national_government_guidance,Crown copyright; non-commercial reproduction permitted with attribution and disclaimers,https://www.tenancy.govt.nz/copyright,false,,html-structured-v1,approved,,,,,New Zealand tenancy guidance only
SRC-OFFICIAL-NZ-002,Property maintenance,https://www.tenancy.govt.nz/maintenance-and-inspections/regular-maintenance/,Tenancy Services New Zealand,,2026-08-10,current web guidance,,,current,NZ,NZ,en,property_maintenance,official_public_document,official/international/nz_property_maintenance.html,true,true,true,national_government_guidance,Crown copyright; non-commercial reproduction permitted with attribution and disclaimers,https://www.tenancy.govt.nz/copyright,false,,html-structured-v1,approved,,,,,New Zealand landlord and tenant maintenance responsibilities
SRC-OFFICIAL-NZ-003,What to do after a natural disaster,https://www.tenancy.govt.nz/maintenance-and-inspections/damage-and-repairs/what-to-do-after-a-natural-disaster/,Tenancy Services New Zealand,,2026-08-10,current web guidance,,,current,NZ,NZ,en,disaster_repair_guidance,official_public_document,official/international/nz_natural_disaster_repairs.html,true,true,true,national_government_guidance,Crown copyright; non-commercial reproduction permitted with attribution and disclaimers,https://www.tenancy.govt.nz/copyright,false,,html-structured-v1,approved,,,,,New Zealand tenancy guidance after natural disasters
SRC-OFFICIAL-NZ-004,Landlord guide to the healthy homes standards,https://www.tenancy.govt.nz/assets/Uploads/landlord-guide-to-the-healthy-homes-standards-use-this-guide-to-make-sure-your-rental-is-healthy-and-stays-that-way.pdf,Tenancy Services New Zealand,,2026-08-10,current guide,,,current,NZ,NZ,en,healthy_homes_standard_guide,official_public_document,official/international/nz_healthy_homes_landlord_guide.pdf,true,true,true,national_government_guidance,Crown copyright; non-commercial reproduction permitted with attribution and disclaimers,https://www.tenancy.govt.nz/copyright,false,,pdf-structured-v1,approved,,,,,Maintenance guide for New Zealand healthy homes standards
SRC-OFFICIAL-NZ-005,Landlord compliance checklist,https://www.tenancy.govt.nz/assets/forms-templates/landlord-compliance-checklist.pdf,Tenancy Services New Zealand,2026-04-16,2026-08-10,current checklist,,,current,NZ,NZ,en,landlord_compliance_checklist,official_public_document,official/international/nz_landlord_compliance_checklist.pdf,true,true,true,national_government_guidance,Crown copyright; non-commercial reproduction permitted with attribution and disclaimers,https://www.tenancy.govt.nz/copyright,false,,pdf-structured-v1,approved,,,,,Checklist covering repair maintenance and healthy homes compliance
